region_id,command,claim_cnt,exposure_cr,approved_cr,deducted_cr,ded_pct
1,NEW DELHI,2477067,5259.84,4777.77,482.07,9.17
9,PUNE,957803,4242.99,3962.82,280.18,6.6
4,BANGALORE,1398702,3639.8,3430.3,209.5,5.76
8,JAIPUR,1388115,3295.25,2740.28,554.97,16.84
29,Region 29,1919597,3033.42,2684.55,348.87,11.5
27,Region 27,1053792,2730.28,2424.74,305.53,11.19
24,Region 24,659799,2015.48,1823.2,192.28,9.54
30,Region 30,918795,1376.91,1251.84,125.07,9.08
7,DEHRADUN,1436946,1285.61,1198.08,87.53,6.81
2,MUMBAI,1944603,1199.17,1111.59,87.59,7.3
3,KOLKATA,670906,1028.64,885.37,143.27,13.93
17,Region 17,646784,859.7,767.72,91.98,10.7
6,CHENNAI,271050,826.39,670.99,155.41,18.81
5,HYDERABAD,526668,713.08,625.28,87.8,12.31
12,PATNA,350304,685.19,647.05,38.14,5.57
15,Region 15,466128,680.27,625.48,54.79,8.05
28,Region 28,318851,586.65,543.6,43.05,7.34
10,CHANDIGARH,250399,562.15,505.59,56.56,10.06
19,Region 19,376522,493.46,452.06,41.4,8.39
21,Region 21,342758,426.07,392.11,33.95,7.97
25,Region 25,307088,390.18,332.27,57.91,14.84
13,AHMEDABAD,241410,381.68,313.93,67.74,17.75
18,Region 18,303880,373.1,329.99,43.11,11.55
32,Region 32,289162,371.78,335.71,36.07,9.7
33,Region 33,343079,305.56,283.95,21.6,7.07
26,Region 26,236604,258.01,227.65,30.35,11.76
14,Region 14,170820,189.56,172.62,16.94,8.94
31,Region 31,210025,173.22,158.49,14.73,8.51
16,Region 16,105597,162.56,143.57,18.99,11.68
11,ALLAHABAD,129267,139.78,125.04,14.74,10.55
20,Region 20,65421,116.97,101.51,15.46,13.22
